user_id	commet-number	song-id
128006720	15	['78884', '78884', '78884', '78884', '26598212', '26598212', '204704', '163041', '25641861', '25641861', '25641861', '4875447', '4875447', '4875447', '327027']
101763770	330	['507364094', '518088073', '518088073', '31134981', '63014', '207012', '408280165', '64274', '64006', '64381', '64274', '64006', '64381', '64274', '64274', '64274', '64381', '25718016', '64238', '526332602', '26609734', '213149', '213149', '213149', '213149', '526472105', '69816', '69816', '466108115', '77088', '77088', '77088', '77088', '36924397', '221588', '221588', '213760', '213707', '213528', '213528', '213707', '213760', '213528', '213760', '213707', '213707', '213760', '213916', '30070089', '216153', '93173', '93173', '93173', '28427258', '5269046', '5269046', '515452931', '34167149', '34167149', '28732238', '28732238', '229578', '29769143', '28282914', '85794', '85794', '85794', '88491', '88491', '86232', '86205', '86205', '85574', '85564', '85564', '85564', '85574', '85576', '93666', '93470', '93470', '94560', '537787665', '95370', '95370', '95370', '95370', '27867470', '27867470', '26609335', '103778', '103778', '103892', '103834', '28409781', '498320308', '113936', '109751', '109739', '109751', '109739', '109751', '108110', '110760', '110760', '110760', '110760', '118118', '110400', '109541', '109541', '109541', '110760', '110767', '114629', '423015039', '456175650', '456175650', '231709', '114067', '5232526', '231667', '229636', '229636', '233127', '233127', '230000', '121500', '121500', '119659', '119659', '135332', '41663027', '101272', '247863', '247863', '26837670', '29750871', '520458306', '251461', '29196755', '5255650', '5255650', '255885', '27646919', '273912', '261727', '363416', '363424', '363416', '363424', '267678', '271398', '276154', '276333', '276333', '276333', '276747', '365680', '147801', '28535019', '30398306', '30398306', '280176', '27713352', '526203483', '27591648', '27591648', '156736', '156291', '156736', '529255842', '156927', '156927', '156927', '101272', '156919', '156919', '158454', '158454', '494858056', '164736', '446508752', '161279', '161067', '161279', '161067', '161067', '161279', '519979355', '164009', '164001', '118118', '33252192', '33252192', '28282914', '496944231', '435305442', '435305442', '435305442', '171370', '171370', '5269042', '177213', '177213', '178795', '178921', '178972', '179793', '179793', '183758', '183758', '182904', '182904', '406730432', '189542', '189680', '186581', '25641861', '186581', '25641861', '25641861', '185706', '443875557', '192353', '191726', '191668', '191726', '191668', '194526', '28377414', '28377414', '516823065', '516818089', '523250334', '523250335', '201493', '190244', '34280474', '34280474', '196701', '196701', '293939', '293939', '293939', '514765266', '26577436', '26577436', '305047', '297587', '5266731', '300474', '5266731', '5266731', '5266731', '472462535', '306975', '307761', '307737', '517567048', '308819', '32196840', '504685854', '400162067', '317691', '400162067', '400162067', '317691', '400162067', '85564', '317147', '317147', '316888', '317147', '32451507', '512527423', '512527423', '512527423', '319936', '319936', '322084', '322084', '326893', '25657169', '36841953', '36871866', '329345', '25640570', '25640570', '431855567', '26387356', '327930', '34690339', '425570214', '470867793', '36150863', '413831749', '26686630', '519360108', '518088074', '216153', '526464368', '524149319', '524148314', '524149319', '524149320', '521784103', '520458134', '521749225', '520459139', '518077050', '518015144', '518077051', '518012149', '516655013', '516654018', '516654015', '516657011', '514774334', '514774335', '413829627', '413829627', '536570444', '394474', '394572', '394572', '191248', '25727426', '188397', '188397']
1516152685	13	['464647443', '477331020', '186164', '186172', '186181', '186174', '25641861', '187011', '25641861', '25641861', '186463', '186310', '186335']
17728230	20	['116986', '116986', '116986', '116986', '116986', '119106', '119106', '119106', '119106', '119106', '119106', '27867405', '25641861', '25641861', '25641861', '193543', '193543', '193543', '193543', '433018414']
45053670	24	['329647', '329647', '115711', '263727', '263727', '263727', '263727', '260239', '260239', '260239', '27713354', '25641861', '25641861', '25641861', '306804', '306804', '306804', '319491', '319491', '319473', '319473', '333623', '29343125', '29343125']
353091154	21	['208977', '86126', '86126', '86041', '503207288', '503206339', '529824943', '367464', '157236', '168293', '168333', '25641861', '186690', '25641861', '25641861', '371166', '5248796', '28068132', '394455', '394455', '60064']
340127899	399	['205451', '412573145', '412573145', '412573145', '26418685', '432430664', '63959', '66532', '66532', '65956', '5282842', '66532', '65956', '65956', '66532', '65956', '66532', '66532', '66532', '65956', '66532', '435288313', '72421', '520012687', '499957715', '487923125', '32958484', '32958484', '27511485', '27511485', '64238', '64412', '64371', '298638', '64371', '64396', '64412', '64396', '420500525', '67339', '67339', '68071', '67339', '68071', '68071', '67339', '68071', '68071', '68071', '68071', '212388', '211707', '28781070', '188743', '211707', '203118', '213347', '217489', '349115', '475840671', '213760', '213760', '213760', '213760', '5282828', '5255720', '30394403', '5269046', '5269046', '473330468', '418284075', '29732647', '229779', '4871948', '229779', '229779', '229779', '229779', '223755', '223755', '81959', '5250032', '224048', '5250032', '5250032', '81959', '224048', '224048', '224063', '5250032', '5250032', '86236', '86624', '86847', '86236', '86257', '85620', '85620', '85620', '87572', '87636', '87572', '87636', '87339', '87572', '87636', '87636', '87572', '87339', '87636', '87636', '87339', '87572', '87339', '87572', '87636', '87636', '87572', '87339', '87636', '87636', '87339', '87572', '87339', '87572', '87636', '87636', '87636', '87636', '87572', '28838023', '28838056', '92253', '25642693', '94238', '25642693', '94238', '94537', '28287193', '473044581', '40140654', '112043', '118267', '114345', '28315647', '114345', '28315647', '114345', '114345', '114345', '28315647', '114345', '114345', '114345', '204694', '204694', '204694', '112644', '112644', '112644', '112644', '112644', '353655', '456185607', '229292', '229292', '247824', '247931', '466795200', '514701444', '253934', '253934', '253934', '253934', '253934', '253934', '253934', '253934', '257817', '255997', '257567', '257817', '257817', '255885', '25641506', '25641506', '25641506', '25641506', '412327286', '259383', '259383', '263727', '263727', '263691', '263727', '258729', '263727', '451340983', '273405', '273432', '451340983', '273432', '273405', '515803135', '27612698', '27612698', '27612698', '365680', '279732', '147195', '146337', '146561', '146551', '146551', '471411075', '471411077', '365979', '365979', '491513022', '152388', '152388', '465920804', '156860', '158518', '446508752', '446508753', '446512709', '446508755', '94537', '94537', '94537', '172207', '169339', '169651', '171874', '169339', '169651', '169651', '172207', '171874', '169651', '169651', '169339', '171874', '169651', '167615', '167615', '167781', '167831', '178795', '178933', '178967', '179004', '179226', '178869', '179226', '179226', '178869', '179226', '179226', '29709731', '186174', '25641861', '25641861', '25641861', '190213', '190213', '190434', '190434', '190213', '456175649', '469564959', '469564960', '456175649', '469564959', '25706242', '25706242', '25706242', '191658', '191658', '191658', '191223', '191658', '191658', '443875557', '427139551', '192815', '192815', '192815', '189340', '193012', '193012', '195075', '195075', '195075', '195075', '193795', '193787', '193937', '193971', '509725722', '493452307', '110802', '295827', '110802', '110802', '295827', '300392', '300419', '493581459', '493581464', '493581464', '298246', '487018095', '27630036', '521187320', '31165020', '521187320', '487018095', '298492', '298638', '31165020', '298492', '298638', '298638', '298492', '298638', '298492', '297629', '297629', '297629', '297629', '300094', '300094', '300094', '521417334', '27630466', '307937', '5243324', '429210724', '29460224', '306978', '307094', '306978', '416552317', '28186081', '28186081', '316496', '316413', '316413', '25713073', '317791', '5255720', '317791', '317791', '5255720', '5255720', '5255720', '25929626', '94537', '94537', '327428', '328218', '328218', '328218', '328218', '27534068', '29827905', '329933', '330566', '330852', '330852', '330793', '330852', '330852', '28152193', '401633676', '454924998', '466089239', '373125', '373125', '373050', '26213221', '26213221', '30841588', '378879', '495359271', '34084621', '28287193', '28095505', '28095505', '25727424', '188257', '188257', '188788', '186879', '186879', '190282', '190673']
102561464	12	['28075207', '28075207', '206839', '93423', '358613', '175965', '26478775', '297871', '297874', '375910', '30413437', '38574322']
135586699	28	['208618', '208618', '5280106', '29898060', '88727', '88727', '88727', '88727', '88727', '558127256', '101754', '108711', '437292143', '358613', '258735', '29898060', '365313', '29932897', '536622055', '26599397', '26599397', '5237542', '5237542', '5237542', '179765', '179765', '26379004', '342338']
394772234	16	['123270', '358613', '259347', '259347', '259347', '261843', '263023', '263023', '260293', '171003', '324934', '324934', '329198', '329198', '332726', '332726']
